Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1,NCT02300792,"The Effects of Honey, as a Dietary Supplement in Children With Hepatitis A",,Completed,No Results Available,Hepatitis A,Dietary Supplement: honey|Dietary Supplement: molasses,the recovery time defined as the number of days from the start of the intervention to subsidence of symptoms and signs of hepatitis and return of liver transaminases to their normal levels.,Ain Shams University,All,"2 Years to 18 Years   (Child, Adult)",Phase 2,50,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",11/013,November 2013,May 2014,November 2014,"November 25, 2014",,"November 26, 2014",,,https://ClinicalTrials.gov/show/NCT02300792
2,NCT03654664,To Evaluate the Immunogenicity and Safety of Inactivated Hepatitis A Vaccine,VITHA-C,Unknown status,No Results Available,Hepatitis A Vaccine,Biological: Inactivated hepatitis A vaccine|Biological: Havrix Inj,Seroconversion rate|Antibody titer (GMT),"Boryung Pharmaceutical Co., Ltd",All,12 Months to 23 Months   (Child),Phase 3,119,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",BR- HAV-CT-301,"June 20, 2017","June 30, 2019","October 11, 2019","August 31, 2018",,"August 31, 2018","The Catholic University of Korea, Incheon St.Mary's Hospital, Incheon, Bupyeong-gu, Korea, Republic of|The Catholic University of Korea, St.Vincent's Hospital., Suwon-si, Gyeonggi-do, Korea, Republic of|Korea University Ansan Hospital, Ansan, Korea, Republic of|Chanwon Fatima Hospital, Changwon, Korea, Republic of|KeiMyung University Dongsan Medical Center, Daegu, Korea, Republic of|Gachon University Gil Hospital, Incheon, Korea, Republic of|Hanil General Hospital, Seoul, Korea, Republic of|Korea cancer center Hospital, Seoul, Korea, Republic of|Nowon Eulji Medical center , Eulji University, Seoul, Korea, Republic of|Wonju Sevrance Christian Hospital, Wonju, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03654664
3,NCT03654677,To Evaluate the Immunogenicity and Safety of Inactivated Hepatitis A Vaccine (VITHA-A),,Completed,No Results Available,Hepatitis A Vaccine,Biological: inactivated hepatitis A vaccine|Biological: Havrix Inj,Seroconversion rate,"Boryung Pharmaceutical Co., Ltd",All,"16 Years and older   (Child, Adult, Older Adult)",Phase 3,253,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",BR-HAV-CT-302,"September 19, 2017","October 12, 2018","January 31, 2019","August 31, 2018",,"March 23, 2020","The Catholic University of Korea, Seoul St.Mary's Hospital, Seoul, Banpo-dong, Seocho-gu, Korea, Republic of|The Catholic University of Korea, Incheon St.Mary's Hospital, Incheon, Bupyeong-gu, Korea, Republic of|The Catholic University of Korea,Uijeongbu St.Mary's Hospital, Uijeongbu, Gyeonggi-do, Korea, Republic of|The Catholic University of Korea, Bucheon St.Mary's Hospital, Bucheon, Kyunggi-Do, Korea, Republic of|The Catholic University of Korea,Yeouido St.Mary's Hospital, Seoul, Yeongdeungpo-gu, Korea, Republic of|Hallym University Medical Center, Seoul, Yeongdeungpo-gu, Korea, Republic of|Soon chung hyang university hospita, Bucheon, Korea, Republic of|Inje university Ilsan Paik hospital, Ilsan, Korea, Republic of|Ewha Womans University Mokdong Hospital, Seoul, Korea, Republic of|Hanyang university medical center, Seoul, Korea, Republic of|Kyunghee university hospital, Seoul, Korea, Republic of|Soon Chun Hyang university hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03654677
4,NCT01353989,Hepatitis A Vaccination in the Elderly,,Completed,No Results Available,Hepatitis A,,How fast do patients> 60 year reach protective anti-HAV levels after vaccination?,Rijnstate Hospital,All,"18 Years and older   (Adult, Older Adult)",,60,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,Hepatitis A vaccination,July 2010,July 2015,July 2015,"May 16, 2011",,"June 28, 2016","Rijnstate Hospital, Arnhem, Netherlands",,https://ClinicalTrials.gov/show/NCT01353989
5,NCT01838070,Regulatory Post-Marketing Surveillance Study for Hepatitis A Vaccine (AVAXIM 160U),,Completed,No Results Available,Hepatitis A,,Safety profile in terms of solicited and unsolicited adverse events following the administration of AVAXIM 160U vaccine,"Sanofi Pasteur, a Sanofi Company|Sanofi",All,"16 Years and older   (Child, Adult, Older Adult)",,614,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,HAF85|U1111-1127-7211,April 2013,November 2015,May 2016,"April 23, 2013",,"July 26, 2016","Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01838070
6,NCT02011763,"Safety of Two Doses of Avaxim® 80U Pediatric (Inactivated Hepatitis A Vaccine) in Toddlers, Children and Adolescents",,Completed,No Results Available,Hepatitis A|Hepatitis A Virus,Biological: Avaxim 80U Pediatric: Inactivated Hepatitis A Virus,Number of participants reporting solicited injection site and systemic events and unsolicited adverse events following vaccination with Avaxim® 80U Pediatric (Inactivated Hepatitis A vaccine).,"Sanofi Pasteur, a Sanofi Company|Sanofi",All,12 Months to 15 Years   (Child),Phase 4,355,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,HAF87|U1111-1127-7652,December 2013,September 2014,August 2015,"December 13, 2013",,"October 1, 2015","Beijing, China",,https://ClinicalTrials.gov/show/NCT02011763
7,NCT02002065,The Fifth-year Follow-up Study for the Phase IV Clinical Trial of Hepatitis A Vaccine in Healthy Children,,Completed,No Results Available,Hepatitis A,Biological: Inactivated HAV vaccine|Biological: Attenuated alive HAV vaccine,The geometric mean concentration (GMC) of anti-hepatitis A virus (HAV) antibodies in serum 60 months after vaccination,"Sinovac Biotech Co., Ltd",All,18 Months to 35 Months   (Child),,332,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,PRO-HA-4013 version 2.0,October 2008,November 2013,June 2014,"December 5, 2013",,"July 14, 2016","Tianjin center for disease prevention and control, Tianjin, China",,https://ClinicalTrials.gov/show/NCT02002065
8,NCT00139113,Immunogenicity Study of an Inactivated Hepatitis A Vaccine in Infants and Young Children,,Completed,No Results Available,Hepatitis A,Biological: hepatitis A vaccine,concentration of antibody to hepatitis A virus|reported side effects and adverse events|antibodies to routine childhood vaccinations,Centers for Disease Control and Prevention|Alaska Native Medical Center|GlaxoSmithKline,All,up to 6 Months   (Child),Phase 4,248,U.S. Fed|Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Prevention,CDC-NCID-1358|U50/CCU022279,September 1996,June 2001,June 2001,"August 31, 2005",,"August 30, 2012","Anchorage Neighborhood Health Center, Anchorage, Alaska, United States|Alaska Native Medical Center, Anchorage, Alaska, United States",,https://ClinicalTrials.gov/show/NCT00139113
9,NCT02124785,"Evaluation of the Long-term Persistence of Hepatitis A Antibodies in Healthy Adults Who Were Vaccinated 21-25 Years Earlier With GlaxoSmithKline (GSK) Biologicals' Hepatitis A Vaccine, Havrix®",,Withdrawn,No Results Available,Hepatitis A,Procedure: Blood sampling,Immunogenicity with respect to components of the study vaccine in terms of anti-HAV seropositivity status and GMCs.|Occurrence of serious adverse events (SAEs).,GlaxoSmithKline,All,"Child, Adult, Older Adult",Phase 4,0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,116763|2013-001918-15,May 2015,July 2019,July 2019,"April 28, 2014",,"November 18, 2015","GSK Investigational Site, Wilrijk, Belgium",,https://ClinicalTrials.gov/show/NCT02124785
10,NCT02601040,Immunogenicity and Safety of Inactivated and Live Attenuated Hepatitis A Vaccines,,Completed,No Results Available,Hepatitis A,"Biological: Attenuated Hepatitis A Vaccine, H2 Strain|Biological: Inactivated Hepatitis A Vaccine, Lu8 Strain|Biological: Group A Meningococcal Polysaccharide vaccine",Changes of hepatitis A antibody concentration|Incidence of adverse events,Jiangsu Province Centers for Disease Control and Prevention|Chinese Academy of Medical Sciences,All,"18 Months to 65 Years   (Child, Adult, Older Adult)",Phase 4,13500,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",JSEPI-004,November 2011,June 2014,October 2015,"November 10, 2015",,"November 10, 2015","Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, Jiangsu, China|Institute of Medical Biology -Chinese Academy of Medical Sciences, Kunming, Yunnan, China",,https://ClinicalTrials.gov/show/NCT02601040
